time,q_raw_0,q_raw_1,q_raw_2,q_raw_3,q_raw_4,q_raw_5,q_raw_6,q_filter_0,q_filter_1,q_filter_2,q_filter_3,q_filter_4,q_filter_5,q_filter_6,dq_raw_0,dq_raw_1,dq_raw_2,dq_raw_3,dq_raw_4,dq_raw_5,dq_raw_6,dq_filter_0,dq_filter_1,dq_filter_2,dq_filter_3,dq_filter_4,dq_filter_5,dq_filter_6,ddq_raw_0,ddq_raw_1,ddq_raw_2,ddq_raw_3,ddq_raw_4,ddq_raw_5,ddq_raw_6,ddq_filter_0,ddq_filter_1,ddq_filter_2,ddq_filter_3,ddq_filter_4,ddq_filter_5,ddq_filter_6,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_filter_0,tau_filter_1,tau_filter_2,tau_filter_3,tau_filter_4,tau_filter_5,tau_filter_6
14.585,0.3536200383725266,0.66176236613279,0.5381941385919912,1.654781255019868,2.0990926876653977,0.4144893882555087,-5.761402326931034,0.35250674799139453,0.6662117925590523,0.5389405749467604,1.6516239152020533,2.10034667009739,0.42148085464093926,-5.776278638240265,0.5567214958098089,-1.1500691219579542,-0.0373576605479644,1.257187596938713,0.4364674377703706,0.0587934349011501,8.390283043260865,0.5238458973625584,-1.1428565802278974,-0.06119585526523022,1.0709062329793702,0.21063209643040012,0.32028773016181983,7.690890196425635,-7.3122103930416,-9.61523244526823,0.6721625429380564,-0.9359322834914734,-5.255717028709066,-27.34969898024694,412.85392286663057,-5.106237809901266,-2.877868105059366,-1.132727777416994,6.245088422184758,-5.757016220200875,-3.1944364134736714,28.422681228139126,-1.1166752320485285,-0.2027391243555012,-0.03436519132059,0.06412905136125,0.0043646036972,0.0625766571037538,0.0043636303853406,-1.1474098243992656,-0.14019275532839803,-0.07686037751227305,0.0545319347371711,0.0008866175569803556,0.04685714009950536,0.0026881224429969796
14.59,0.3541650219693179,0.6605027061610897,0.5381152437756817,1.6559746427454751,2.0990926876653977,0.4144893882555087,-5.755481050130489,0.3550702300282203,0.6605151668128988,0.5386321291028437,1.6572630708143143,2.1009989963604516,0.4226157836545759,-5.745760249095472,0.4866304026034197,-1.1488865316011847,-0.0738019204267186,1.2558948590498298,0.4359939062931028,0.0587301698071499,8.289222890332828,0.49826542805358587,-1.1570821314428807,-0.06690996576601463,1.101968110111583,0.1819141096879775,0.30403992587594075,7.83295467521685,-8.341325755941188,3.4863908568770494,-4.834602043297418,-49.24441507264897,-0.10567728399010767,-1.1401949663003295,-379.6119691511283,-5.12558741322647,-2.811929267860905,-1.152934535194577,6.178271095222392,-5.730133876049095,-3.305333120969186,28.394715444031952,-1.118794225310649,-0.2002388447085558,-0.0353631977982303,0.0664162981951313,0.0040202144154099,0.0638602898813351,0.0022194988070796,-1.141544425571136,-0.1295848953187747,-0.08158008775182853,0.056059949107852634,0.0008218308876353116,0.04636285498961233,0.002718762731056132
14.595,0.3557752007780195,0.6568182007438662,0.537904857598856,1.6597039793879973,2.0990926876653977,0.4144893882555087,-5.731795942928305,0.3575046362489107,0.6547361429654173,0.5382961868066013,1.6630622284812666,2.1015200169094346,0.42366780867036946,-5.71481858865977,0.4845543343329272,-1.1439851385482789,-0.0734870658173896,0.8336912972190847,0.4345795958527721,0.0585412140835107,5.537901559302062,0.47259374114979585,-1.1709716651935311,-0.07272526688884491,1.1326751276782316,0.15333087112889426,0.2872284651930658,7.974752836534294,0.6585447915994377,-10.514413845012099,0.6846958806055277,-56.70609580234999,-0.5321908792674052,33.53756658721562,-323.1339364579013,-5.142705986646499,-2.7434630938322253,-1.1731823114426345,6.103154810846683,-5.70318596822067,-3.419796226667838,28.315994484490133,-1.1177347286795871,-0.1994054181595732,-0.0358622010370493,0.0664162981951313,0.0033314358518297,0.0639855223474407,0.0012653602547534,-1.135112164050233,-0.11884060993232042,-0.0862492258351587,0.05749630736792379,0.0007474021466849978,0.04584405766308434,0.002747004601862081
14.6,0.3594662260471968,0.647654174449746,0.5373788921567921,1.6691019077271525,2.0990926876653977,0.4174500267430481,-5.684425728523939,0.3598092001116211,0.6488754488043691,0.5379320322565275,1.6690202171346467,2.1019096163924083,0.42463570701542536,-5.683451989251586,0.4830978958528249,-1.22828098669672,-0.0732661836936261,0.8311854480299162,0.4311403251873257,0.3605501562673666,5.50968838868915,0.4468422716754021,-1.1845125886056822,-0.07864163265935897,1.1629859905273459,0.12488168913790738,0.2698370828928131,8.116028745074317,2.892268431974889,0.128573360970885,-0.08653728756481174,57.05203372411373,-0.49565632656070524,45.35565184931052,45.7567166395551,-5.157481994545586,-2.6724898616252477,-1.193337474318231,6.019828704305606,-5.676577591375351,-3.537193167149743,28.185701386181822,-1.111907497208752,-0.1439825526522749,-0.0663013986050561,0.064832819617829,0.0023295761229856,0.0643925278622835,-0.0005464309288771,-1.1281128016499475,-0.10797216394712085,-0.09085115655124144,0.0588389278429065,0.0006633091209241173,0.04530268334207334,0.002772684340251579
14.605,0.3610764048558983,0.6434343135445498,0.5371159094357602,1.67372628516388,2.0990926876653977,0.4204106652305874,-5.660740621321756,0.3619832141414737,0.6429339058507033,0.5375389486982545,1.6751356549667027,2.1021676292557077,0.4255182141970084,-5.651659198307708,0.488948754309084,-1.15435993202151,-0.0741535195195561,1.2618780569204036,0.4295702416801979,0.4610993313499466,5.542043217585514,0.4210230051013224,-1.1976924517987653,-0.08465825167412165,1.1928599877992294,0.09656388904448172,0.2518527602526134,8.25652308401248,-15.729024818409513,0.15922786195126104,1.158828121270378,49.792044445091506,5.13935914621759,18.027725490460558,-182.9377051998147,-5.16980699303035,-2.599046567363535,-1.2132596290729578,5.92843731610679,-5.650696387475126,-3.656858681161154,28.003300968693154,-1.105550517422387,-0.1139791968889263,-0.0802734892920108,0.0645689065216119,0.0019225706081428,0.0617939541905944,0.0008043719654273,-1.1205471354940217,-0.09699313737766059,-0.0953686583261409,0.06008624237278083,0.000569612837925004,0.04474077125206196,0.0027956564972051196
14.61,0.3647426581434033,0.6327586952843891,0.5363795578168705,1.6852126420228477,2.0990926876653977,0.4263319422056661,-5.607449130116844,0.36402603518165405,0.6369124359160454,0.5371162234096115,1.6814069456067546,2.102293836904855,0.4263140322338863,-5.619439417226597,0.3482496564941809,-1.2395992810452874,-0.0739413127901618,1.2582669132135575,0.4256584525061517,0.5578559969800057,5.576953158227137,0.39514845889181605,-1.2104990325174734,-0.09077359553800433,1.2222572689336328,0.06837290746544909,0.23326587669443913,8.395974569789047,-15.17082180583473,-11.831328872072245,-9.894026343555833,-6.934929967891988,-40.473033469930165,11.201699606432152,1343.8629196389304,-5.17957683097845,-2.5231873204534616,-1.2328025349924832,5.829180104453619,-5.625909752987504,-3.778099598720982,27.76854195868877,-1.1034315241602664,-0.0514722057152835,-0.1122096965764792,0.0615778914311517,0.0010772514619306,0.0533407627284733,0.004481557622145,-1.1124171510251706,-0.08591845019796161,-0.0997840026849596,0.06123720392709177,0.0004664594073442046,0.04416045332228792,0.0028157949999019173
14.615,0.3664766968604665,0.6272161914089075,0.5359850837353225,1.6913287541165838,2.1020533261529373,0.4263319422056661,-5.577842746114114,0.3659370895433398,0.6308120671429275,0.5366631528124276,1.687832275605624,2.1022879655046425,0.4270218385884593,-5.586792336759462,0.3495099085683456,-1.244085165053895,-0.1484177858658979,1.2628203519827257,0.0823630656303247,0.55532441035699,17.05228202759484,0.36923165800782604,-1.2229204224087653,-0.09698539212289146,1.2511391160439715,0.040302400022651744,0.21407033674465473,8.534121374172086,-7.0127133055369075,3.231990774836617,0.016948893859204672,-7.241781445554929,-34.82298881640224,-15.029529024460887,1469.9763986458577,-5.186692864547145,-2.444983604736389,-1.2518151159735191,5.722310479581209,-5.602562283262721,-3.9001999193384917,27.481457781193658,-1.091247312903066,-0.0518889189897738,-0.1142057095317575,0.0624576017518755,0.0006389378305615,0.0477366098702523,0.0053606515692321,-1.1037261705552326,-0.07476437602322254,-0.1040790408361221,0.06229129067264229,0.0003540809405549392,0.0435639420983507,0.002832994076287524
14.62,0.3685823153026146,0.6197841975758753,0.5354591182932585,1.6993841212644314,2.1020533261529373,0.4292925806932054,-5.530472531709749,0.3677158780022758,0.6246339394642619,0.5361790476762248,1.694409613266668,2.102149684438453,0.4276402956317122,-5.553718168632553,0.2778364382770013,-1.2362031186314648,-0.0737387338510107,1.2548196066020132,0.0818649249841499,0.4422488119377845,16.959823690427942,0.34328610432640116,-1.2349451142542252,-0.10329060409978544,1.2794682102713337,0.012344361227595971,0.19426367097571934,8.670702546996674,1.9333078213563828,-10.42140827083512,11.196686262840917,54.28518517976669,-30.896398520244947,-13.620280901810096,-1197.6661972913776,-5.191063174407128,-2.3645243984736686,-1.270142558103823,5.608134362062726,-5.580973462569875,-4.022426132961453,27.142366042671,-1.0684681353352568,-0.0735580092633052,-0.1062216577106398,0.06412905136125,1.2775500034068497e-05,0.0394399589907631,0.001704907228297,-1.0944789956382845,-0.06354854396688049,-0.10823529713030323,0.06324850648881308,0.0002327955168364816,0.04295351795706444,0.0028471689883373657
14.625,0.3705145298730565,0.612352203742843,0.5349068545790912,1.7074394884122783,2.0990926876653977,0.4292925806932054,-5.483102317305383,0.3693619805893076,0.6183793094216385,0.5356632383771799,1.701136708852639,2.101878605440046,0.4281680605659767,-5.5202176731213495,0.3464058069038616,-1.321110079201126,-0.0735498216378995,1.6688064907613451,-0.2313986495116821,0.4380135924798304,8.40642355644051,0.3173257399901664,-1.246562089437838,-0.10968541316044127,1.3072088897529346,-0.015510744712197587,0.1738471098397632,8.80545943309417,-7.050597402734448,0.7086329524104004,-10.981130357415571,-0.7193045456423149,-36.47373480729337,1.2656126179749927,-1013.0121047362079,-5.192603774610558,-2.2819161477059735,-1.287627486512436,5.487008271787917,-5.5614356062991614,-4.1440327336212235,26.751866727280643,-1.0626409038644211,-0.0498053526173205,-0.1147047127705764,0.0662403561309869,0.0006702459470878,0.0366222285033893,-0.0003105764552684,-1.0846820415636993,-0.05228992795773467,-0.11223406908350105,0.0641093779525102,0.00010300617462252328,0.042331515722013505,0.002858256570062688
14.63,0.3724467444434982,0.6039124819324506,0.5341968012323048,1.7166882432857336,2.0990926876653977,0.4292925806932054,-5.435732102901016,0.37087506112222735,0.6120495542855702,0.5351150801741934,1.7080110961878374,2.1014742824041432,0.42860379572419266,-5.486292182336085,0.2074183738969261,-1.2305140979730276,-0.1467987747366295,1.2490449126565122,-0.2306513574152055,0.4365863080713349,8.270057226475164,0.2913649047570089,-1.2577609049047267,-0.11616521030337282,1.3343273968848095,-0.043273843438711296,0.15282562956201295,8.938137077022434,-17.15002255185355,10.750677941006504,-0.059203354820223236,-54.619413456465956,5.460873086486506,-0.38744285787666777,131.876190665325,-5.191239801716069,-2.1972825886483034,-1.3041112127180947,5.359336958962042,-5.544212060174277,-4.264267872746352,26.31083912353147,-1.0546946791314653,-0.0106343048151702,-0.1356628488010086,0.0672960085158551,0.0009207108792989,0.035088130793597,-0.0001068839553335,-1.0743434622974466,-0.04100882287767356,-0.11605653359110515,0.06487494784118517,-3.480108313150841e-05,0.04170031078562046,0.0028662155681647154
14.635,0.3738835193804935,0.596826894591636,0.5335393444297248,1.7242960900364783,2.0990926876653977,0.4292925806932054,-5.406125718898288,0.37225487142688307,0.605646175424827,0.5345339584626265,1.715030095665035,2.100936211875295,0.42894617915888833,-5.451943619018154,0.2092012376918112,-1.241090976931022,-0.0740302915059141,1.2597810731572558,-0.2293431051269166,0.4340876223468941,8.314876600145091,0.26541828747760665,-1.2685317788476291,-0.12272459251275929,1.3607921126268223,-0.07095710163501887,0.13120796953312502,9.06848560928152,2.506382890234956,-2.63667128554946,10.957102969905192,8.139732578833533,0.12223809391397149,5.060234855791903,53.85519772340422,-5.1869066725749455,-2.110764415963534,-1.3194350427351074,5.22557059307894,-5.529535659928105,-4.382379096873118,25.820437493383864,-1.0515161892382827,0.0668743642401477,-0.1546249718761602,0.06412905136125,0.0011398676949834,0.0330217951028563,0.0024124706491231,-1.0634732642472091,-0.029726806964625416,-0.1196838588976772,0.06554676522809187,-0.00018006026965876982,0.04106230484971793,0.002871026785086359
14.64,0.3738835193804935,0.596826894591636,0.5335393444297248,1.7242960900364783,2.0990926876653977,0.4292925806932054,-5.406125718898288,0.37350125519666344,0.5991708008765024,0.533919293965273,1.7221908186564865,2.1002638342077433,0.42919391542955976,-5.417174510688089,0.2092012376918112,-1.241090976931022,-0.0740302915059141,1.2597810731572558,-0.2293431051269166,0.4340876223468941,8.314876600145091,0.23950087188681388,-1.278865674345182,-0.12935736610782322,1.386573775689155,-0.09857377117139318,0.10900662091975767,9.196261607744757,0.17901887713065678,0.3882795756220969,-9.99740478127039,-5.792024420398367,0.07621290321738519,-37.24050801561355,-370.60494876016315,-5.179551199029949,-2.0225187949934713,-1.333441635309205,5.086201530331655,-5.517607453716935,-4.497619113058804,25.28208548978944,-1.045159209451915,0.0727083500830213,-0.1616110172196376,0.0645689065216119,0.0011085595784571,0.0330531032193827,0.0026483251227318,-1.0520834072901508,-0.018466690017646933,-0.12309732182584489,0.06612687226874787,-0.0003321293705380578,0.04041991140152145,0.0028726930260275433
14.645,0.3749487145924037,0.5909694757232293,0.532908185899248,1.7305613755959153,2.0990926876653977,0.4322532191807448,-5.376519334895559,0.37461415144120014,0.5926251870734554,0.5332705478194366,1.729490173318027,2.099456535382452,0.42934574649356416,-5.381987999027867,0.210285743848845,-1.2475248337321156,-0.1488281339864878,1.2663118200372834,-0.2282669168402091,0.1144100153367895,5.5336666823956735,0.21362787695390587,-1.2887543801696655,-0.136056556985088,1.4116456845527452,-0.1261380275231369,0.08623778649795442,9.321229428048778,-0.44892716941965694,-7.488920831942562,-8.319142556559532,45.386982639060776,0.31832264477158806,-37.390697098951385,-6.7902088398059375,-5.169132647692062,-1.9327187173113232,-1.3459763988618492,4.941760684287321,-5.508595688518532,-4.6092515247429375,24.697469322018847,-1.0446294611363858,0.1498003058638472,-0.1855631726829883,0.0632493410405266,0.0013903326271944,0.0315190055095904,0.0039133627539058,-1.0401878915813625,-0.007252447041663861,-0.12627842970746778,0.06661778780127857,-0.0004902952538564221,0.039775541045457156,0.002871238853269818
14.65,0.3763607175477266,0.5818999239269866,0.531987746375636,1.7407051712635753,2.0990926876653977,0.4322532191807448,-5.329149120491193,0.375593597477418,0.5860112196912775,0.5325872265186026,1.7369248717648278,2.0985136494611463,0.4294004626031172,-5.346387844423065,0.205353290525357,-1.3052817269191013,-0.1453372277049958,1.648812352920634,-0.2266146253145887,0.1135959329273108,8.256674810089612,0.18781469209592666,-1.2981905879819802,-0.14281442791704188,1.435983880410791,-0.15366480378118286,0.06292131199976587,9.443162496666021,-0.5935279903574953,-6.631073258463424,1.6539031075169632,44.51621638839044,0.17483087321058846,5.232983835729226,364.03778019344975,-5.155623732944599,-1.8415522002889937,-1.3568889150302168,4.792813528824211,-5.50263506081496,-4.7165564811167995,24.068529661519605,-1.0329749981947147,0.1681356899414485,-0.1985372568923027,0.0628974569122369,0.0011085595784571,0.0307676107129573,0.0049211045956885,-1.0278028287559065,0.003890862921596739,-0.12920904640126654,0.06702248790578219,-0.0006537795022438878,0.03913158681346234,0.002866710152888433
14.655,0.3763607175477266,0.5818999239269866,0.531987746375636,1.7407051712635753,2.0990926876653977,0.4322532191807448,-5.329149120491193,0.3764397314189026,0.5793309135829479,0.5318688866671483,1.744491438586876,2.0974344616512064,0.4293569131095201,-5.31037842563357,0.205353290525357,-1.3052817269191013,-0.1453372277049958,1.648812352920634,-0.2266146253145887,0.1135959329273108,8.256674810089612,0.16207680761751547,-1.3071679651385124,-0.1496225030086735,1.45956730927337,-0.1811696215757354,0.039080589545649545,9.561844560331878,0.0822075553914665,0.9626148864497679,-0.058181771358200206,-6.375008881389185,-0.0275381920936744,0.013568040157977551,-45.383468794899,-5.139011531386099,-1.7492213327426793,-1.3660343761101872,4.6399557662653095,-5.499826230949908,-4.8188361842382905,23.397452275197406,-1.0329749981947147,0.1681356899414485,-0.1985372568923027,0.0628974569122369,0.0011085595784571,0.0307676107129573,0.0049211045956885,-1.0149464962476356,0.014937192912340625,-0.13187152172358566,0.0673443835889152,-0.000821745124172628,0.03849040957713522,0.0028591735206053405
